id,pred
2017_1112_1116,0.5000
2017_1112_1124,0.5000
2017_1112_1137,0.5000
2017_1112_1139,0.2901
2017_1112_1153,0.5000
2017_1112_1166,0.5000
2017_1112_1173,0.5000
2017_1112_1181,0.6058
2017_1112_1190,0.7287
2017_1112_1195,0.5000
2017_1112_1196,0.4562
2017_1112_1199,0.5000
2017_1112_1211,0.5768
2017_1112_1233,0.5000
2017_1112_1235,0.5000
2017_1112_1240,0.5000
2017_1112_1242,0.5359
2017_1112_1243,0.6584
2017_1112_1245,0.5000
2017_1112_1246,0.5000
2017_1112_1257,0.5242
2017_1112_1266,0.6946
2017_1112_1268,0.5000
2017_1112_1274,0.6703
2017_1112_1276,0.6876
2017_1112_1277,0.4844
2017_1112_1278,0.5000
2017_1112_1291,0.8171
2017_1112_1292,0.5000
2017_1112_1297,0.5000
2017_1112_1300,0.5000
2017_1112_1305,0.5000
2017_1112_1308,0.7061
2017_1112_1309,0.5000
2017_1112_1314,0.3719
2017_1112_1315,0.5000
2017_1112_1321,0.5000
2017_1112_1323,0.4950
2017_1112_1329,0.6969
2017_1112_1332,0.4742
2017_1112_1343,0.5000
2017_1112_1344,0.3415
2017_1112_1345,0.1934
2017_1112_1348,0.7756
2017_1112_1355,0.5000
2017_1112_1371,0.1763
2017_1112_1374,0.5000
2017_1112_1376,0.5000
2017_1112_1388,0.7783
2017_1112_1407,0.5000
2017_1112_1411,0.7541
2017_1112_1413,0.5000
2017_1112_1417,0.5479
2017_1112_1423,0.5000
2017_1112_1425,0.6430
2017_1112_1433,0.5000
2017_1112_1435,0.3683
2017_1112_1436,0.7671
2017_1112_1437,0.2767
2017_1112_1438,0.3747
2017_1112_1439,0.5000
2017_1112_1448,0.3700
2017_1112_1452,0.3537
2017_1112_1455,0.3546
2017_1112_1457,0.5000
2017_1112_1458,0.3846
2017_1112_1462,0.5855
2017_1116_1124,0.4672
2017_1116_1137,0.2529
2017_1116_1139,0.5000
2017_1116_1153,0.5000
2017_1116_1166,0.5000
2017_1116_1173,0.4965
2017_1116_1181,0.5000
2017_1116_1190,0.3613
2017_1116_1195,0.8595
2017_1116_1196,0.3066
2017_1116_1199,0.5000
2017_1116_1211,0.5170
2017_1116_1233,0.5861
2017_1116_1235,0.3892
2017_1116_1240,0.5855
2017_1116_1242,0.3228
2017_1116_1243,0.5000
2017_1116_1245,0.5000
2017_1116_1246,0.3876
2017_1116_1257,0.5576
2017_1116_1266,0.5000
2017_1116_1268,0.6780
2017_1116_1274,0.5000
2017_1116_1276,0.4946
2017_1116_1277,0.5000
2017_1116_1278,0.5127
2017_1116_1291,0.7715
2017_1116_1292,0.5000
2017_1116_1297,0.5000
2017_1116_1300,0.8532
2017_1116_1305,0.5000
2017_1116_1308,0.5000
2017_1116_1309,0.5000
2017_1116_1314,0.4389
2017_1116_1315,0.5000
2017_1116_1321,0.5000
2017_1116_1323,0.5000
2017_1116_1329,0.3225
2017_1116_1332,0.5000
2017_1116_1343,0.5000
2017_1116_1344,0.4413
2017_1116_1345,0.5000
2017_1116_1348,0.5000
2017_1116_1355,0.5000
2017_1116_1371,0.6493
2017_1116_1374,0.7315
2017_1116_1376,0.5507
2017_1116_1388,0.5000
2017_1116_1407,0.5757
2017_1116_1411,0.7228
